iter	Passed	Remaining
0	112	112409
1	118	58908
2	122	40686
3	126	31553
4	129	25855
5	133	22142
6	136	19402
7	140	17456
8	143	15843
9	147	14594
10	151	13593
11	156	12877
12	164	12497
13	170	11984
14	175	11518
15	179	11045
16	183	10584
17	186	10195
18	190	9830
19	193	9491
20	199	9278
21	204	9073
22	207	8797
23	210	8544
24	213	8342
25	216	8121
26	220	7959
27	223	7767
28	227	7616
29	231	7484
30	235	7353
31	239	7231
32	243	7143
33	249	7085
34	253	6980
35	256	6872
36	261	6794
37	264	6684
38	268	6609
39	271	6515
40	277	6482
41	280	6399
42	284	6322
43	287	6236
44	290	6170
45	293	6096
46	297	6033
47	301	5975
48	304	5912
49	309	5872
50	314	5844
51	317	5781
52	322	5763
53	326	5715
54	330	5674
55	333	5617
56	336	5569
57	339	5518
58	342	5465
59	346	5430
60	349	5380
61	352	5333
62	355	5289
63	358	5241
64	362	5208
65	365	5166
66	367	5123
67	371	5088
68	374	5048
69	377	5016
70	380	4980
71	383	4940
72	386	4911
73	389	4876
74	393	4851
75	396	4819
76	399	4787
77	402	4762
78	405	4729
79	409	4703
80	412	4675
81	414	4645
82	418	4624
83	421	4595
84	424	4570
85	427	4544
86	430	4517
87	433	4495
88	436	4469
89	439	4443
90	442	4423
91	445	4398
92	448	4377
93	451	4355
94	455	4334
95	458	4315
96	461	4293
97	464	4274
98	467	4255
99	470	4234
100	474	4220
101	477	4199
102	480	4180
103	483	4162
104	486	4142
105	489	4125
106	491	4105
107	494	4086
108	498	4075
109	501	4056
110	504	4041
111	507	4025
112	510	4008
113	514	3996
114	517	3978
115	519	3961
116	523	3948
117	526	3935
118	530	3924
119	532	3908
120	535	3892
121	539	3880
122	542	3867
123	546	3859
124	549	3844
125	552	3831
126	555	3818
127	558	3804
128	562	3795
129	565	3782
130	568	3772
131	571	3759
132	574	3745
133	578	3738
134	581	3724
135	584	3714
136	587	3702
137	590	3689
138	594	3680
139	596	3666
140	600	3655
141	603	3644
142	605	3630
143	609	3621
144	612	3609
145	615	3597
146	618	3588
147	621	3579
148	625	3573
149	628	3561
150	631	3552
151	634	3541
152	637	3529
153	640	3520
154	643	3509
155	646	3499
156	650	3490
157	652	3478
158	655	3468
159	658	3458
160	661	3448
161	665	3440
162	668	3430
163	670	3419
164	674	3411
165	676	3400
166	680	3392
167	683	3382
168	685	3372
169	689	3366
170	692	3357
171	695	3347
172	698	3339
173	701	3329
174	705	3323
175	708	3317
176	712	3313
177	715	3304
178	718	3294
179	721	3288
180	724	3278
181	727	3271
182	730	3262
183	733	3253
184	737	3246
185	739	3238
186	742	3229
187	746	3222
188	748	3213
189	752	3206
190	755	3198
191	757	3189
192	761	3183
193	764	3175
194	767	3167
195	770	3159
196	772	3150
197	775	3143
198	779	3135
199	781	3127
200	785	3122
201	788	3114
202	791	3107
203	794	3099
204	797	3091
205	800	3086
206	803	3077
207	806	3070
208	809	3063
209	812	3056
210	815	3049
211	818	3042
212	821	3034
213	824	3028
214	827	3020
215	830	3012
216	833	3006
217	835	2998
218	838	2991
219	841	2985
220	844	2977
221	848	2973
222	851	2965
223	853	2958
224	857	2952
225	859	2945
226	862	2938
227	865	2932
228	868	2924
229	871	2918
230	874	2911
231	877	2904
232	881	2900
233	883	2893
234	886	2886
235	889	2881
236	892	2873
237	896	2869
238	899	2862
239	901	2855
240	905	2850
241	907	2843
242	910	2837
243	913	2831
244	916	2824
245	919	2819
246	922	2812
247	925	2805
248	928	2800
249	931	2794
250	934	2787
251	937	2782
252	940	2775
253	942	2769
254	946	2765
255	949	2758
256	952	2754
257	955	2748
258	958	2741
259	961	2736
260	964	2730
261	967	2724
262	970	2719
263	973	2712
264	976	2707
265	979	2702
266	982	2696
267	985	2692
268	988	2685
269	991	2680
270	994	2675
271	997	2669
272	1001	2665
273	1003	2659
274	1006	2653
275	1009	2649
276	1012	2643
277	1015	2637
278	1018	2632
279	1021	2626
280	1024	2621
281	1027	2615
282	1030	2609
283	1033	2605
284	1036	2599
285	1038	2593
286	1042	2588
287	1044	2582
288	1047	2577
289	1050	2572
290	1053	2566
291	1056	2561
292	1059	2556
293	1062	2550
294	1065	2546
295	1068	2541
296	1071	2535
297	1074	2530
298	1076	2524
299	1079	2519
300	1083	2515
301	1085	2509
302	1089	2505
303	1092	2501
304	1095	2496
305	1098	2492
306	1101	2487
307	1105	2484
308	1108	2479
309	1112	2475
310	1115	2471
311	1118	2467
312	1122	2463
313	1125	2458
314	1129	2455
315	1131	2450
316	1135	2446
317	1138	2442
318	1141	2437
319	1145	2433
320	1147	2428
321	1150	2423
322	1154	2419
323	1156	2413
324	1160	2410
325	1164	2407
326	1167	2403
327	1170	2398
328	1173	2393
329	1177	2389
330	1179	2384
331	1182	2379
332	1185	2375
333	1188	2370
334	1192	2366
335	1195	2361
336	1198	2358
337	1202	2354
338	1205	2349
339	1208	2346
340	1211	2341
341	1214	2336
342	1217	2332
343	1220	2326
344	1223	2322
345	1226	2317
346	1228	2312
347	1232	2308
348	1234	2303
349	1237	2298
350	1240	2294
351	1243	2289
352	1246	2285
353	1249	2280
354	1252	2276
355	1255	2271
356	1258	2267
357	1261	2262
358	1264	2258
359	1267	2254
360	1271	2249
361	1274	2245
362	1277	2241
363	1280	2237
364	1284	2234
365	1287	2229
366	1290	2225
367	1293	2220
368	1296	2217
369	1299	2213
370	1303	2209
371	1306	2204
372	1308	2200
373	1312	2196
374	1315	2192
375	1318	2187
376	1320	2182
377	1323	2177
378	1326	2173
379	1329	2169
380	1332	2164
381	1337	2163
382	1340	2158
383	1343	2155
384	1346	2151
385	1349	2147
